Nest,Prefix,Suffix,Year
11PR02,2461,1451,2011
11PR02,2461,1452,2011
11PR02,2461,1454,2011
11PR02,2461,1455,2011
11BC05,2461,1456,2011
11BC05,2461,1457,2011
11BC05,2461,1458,2011
11BC05,2461,1459,2011
11HP06,2461,1460,2011
11HP06,2461,1461,2011
11HP06,2461,1467,2011
11HP06,2461,1462,2011
11HP08,2461,1463,2011
11HP08,2461,1464,2011
11GB01,2461,1465,2011
11GB01,2461,1466,2011
11GB01,2461,1470,2011
11HP05,2461,1469,2011
11HP05,2461,1468,2011
11GB03,2461,1471,2011
11GB03,2461,1472,2011
11GB03,2461,1473,2011
11GB03,2461,1474,2011
11MP04,2461,1477,2011
11MP04,2461,1478,2011
11MP04,2461,1518,2011
11GB02,2461,1479,2011
11GB02,2461,1480,2011
11GB02,2461,1453,2011
11TL02,2461,1481,2011
11TL02,2461,1482,2011
11TL02,2461,1483,2011
11TL02,2461,1485,2011
11HP04,2461,1501,2011
11HP04,2461,1502,2011
11HP04,2461,1503,2011
11MP03,2461,1504,2011
11MP03,2461,1505,2011
11MP03,2461,1506,2011
11MP03,2461,1507,2011
11IB02,2461,1508,2011
11BC04,2461,1509,2011
11BC04,2461,1510,2011
11MP01,2461,1511,2011
11MP01,2461,1512,2011
11MP01,2461,1513,2011
11BB01,2461,1514,2011
11BB01,2461,1515,2011
11BB01,2461,1516,2011
11BB01,2461,1517,2011
11LL04,2461,1519,2011
11LL04,2461,1520,2011
11LL04,2461,1524,2011
11LL04,2461,1525,2011
11TL03,2461,1521,2011
11TL03,2461,1522,2011
11TL03,2461,1523,2011
11GB05,2461,1527,2011
11GB05,2461,1528,2011
11GB05,2461,1529,2011
11GB05,2461,1530,2011
11MP08,2461,1532,2011
11MP08,2461,1533,2011
11LL05,2461,1535,2011
11LL05,2461,1536,2011
11LL05,2461,1537,2011
11LL05,2461,1538,2011
11TL04,2461,1539,2011
11TL04,2461,1540,2011
11TL04,2461,1541,2011
11MP07,2461,1545,2011
11GB04,2461,1546,2011
11GB04,2461,1547,2011
11BB02,2461,1548,2011
11BB02,2461,1549,2011
11BC07,2461,1550,2011
11BC07,2461,1551,2011
11BC07,2461,1552,2011
