Nest,Prefix,Suffix,Year
15TL01,891,19626,2015
15TL01,891,19627,2015
15DB01,891,19629,2015
15DB01,891,19630,2015
15DB01,891,19631,2015
15GB01,891,19632,2015
15GB01,891,19633,2015
15GB01,891,19634,2015
15HP02,891,19638,2015
15HP02,891,19636,2015
15HP02,891,19639,2015
15HP02,891,19637,2015
15OC01,891,19642,2015
15OC01,891,19643,2015
15GB02,891,19644,2015
15GB02,891,19645,2015
15GB02,891,19646,2015
15GB02,891,19647,2015
15LR01,891,19648,2015
15LR01,891,19649,2015
15LR01,891,19650,2015
15HP01,891,19652,2015
15HP01,891,19653,2015
15HP01,891,19654,2015
15HP01,891,19655,2015
15IB01,891,19659,2015
15IB01,891,19660,2015
15IB01,891,19661,2015
15IB01,891,19662,2015
15PB02,891,19656,2015
15PB02,891,19657,2015
15PB02,891,19658,2015
15PB02,891,19651,2015
15GB04,891,19663,2015
15GB04,891,19664,2015
15GB04,891,19665,2015
15LL02,891,19666,2015
15LL02,891,19667,2015
15EP04,891,19668,2015
15GB05,891,19669,2015
15GB05,891,19670,2015
