Nest,Prefix,Suffix,Year
10MP02,2341,64077,2010
10MP02,2341,64078,2010
10MP02,2341,64079,2010
10TL01,2341,64081,2010
10TL01,2341,64082,2010
10TL01,2341,64083,2010
10TL01,2341,64084,2010
10TL03,2341,64085,2010
10TL03,2341,64086,2010
10TL03,2341,64087,2010
10TL03,2341,64088,2010
10HP03,2341,64089,2010
10HP03,2341,64092,2010
10HP03,2341,64090,2010
10HP03,2341,64091,2010
10IB02,2231,10372,2010
10IB02,2231,10373,2010
10IB02,2231,10379,2010
10IB02,2341,64093,2010
10HP01,2341,64095,2010
10HP01,2461,1349,2010
10HP01,2461,1336,2010
10BC08,2461,1396,2010
10BC08,2461,1397,2010
10BC08,2231,10367,2010
10BC08,2461,1398,2010
10GB01,2461,1304,2010
10GB01,2341,64099,2010
10GB01,2341,64100,2010
10GB01,2341,1302,2010
10GB04,2341,1305,2010
10GB04,2341,1306,2010
10GB04,2341,1307,2010
10MP08,2341,1308,2010
10MP08,2341,1309,2010
10MP08,2341,1312,2010
10MP08,2341,1311,2010
10PR01,2231,10347,2010
10PR01,2231,10348,2010
10PR01,2231,10346,2010
10PR01,2231,10332,2010
10PR02,2231,10360,2010
10PR02,2231,10356,2010
10PR02,2231,10365,2010
10PR02,2231,10362,2010
10BB02,2231,10369,2010
10BB02,2231,10361,2010
10BB02,2231,10363,2010
10LL05,2231,10359,2010
10LL05,2231,10370,2010
10LL05,2231,10350,2010
10LL05,2231,10371,2010
10MP03,2231,10357,2010
10MP03,2231,10358,2010
10MP03,2231,10368,2010
10MP03,2231,10366,2010
10GB02,2231,10375,2010
10GB02,2461,1322,2010
10BC07,2231,10376,2010
10BC06,2231,10381,2010
10BC06,2231,10382,2010
10BC06,2231,10386,2010
10BC03,2231,10383,2010
10IB03,2231,10384,2010
10IB03,2231,10385,2010
10IB03,2461,1333,2010
10PR03,2231,10388,2010
10PR03,2231,10390,2010
10PR03,2231,10387,2010
10PR03,2231,10389,2010
10TL02,2231,10393,2010
10TL02,2231,10392,2010
10TL02,2231,10391,2010
10LL06,2231,10396,2010
10LL06,2231,10395,2010
10LL06,2231,10394,2010
10LL06,2231,10351,2010
10BC05,2231,10398,2010
10BC05,2231,10399,2010
10BC05,2461,1335,2010
10MP10,2461,1379,2010
10MP10,2461,10400,2010
10MP10,2461,10353,2010
10MP15,2461,1320,2010
10MP15,2461,1319,2010
10MP15,2461,1318,2010
10MP15,2461,1317,2010
10GC01,2461,1315,2010
10GC01,2461,1334,2010
10MP13,2461,1332,2010
