Nest,Prefix,Suffix,Year
14PB04,8001,82868,2014
14PB04,8001,82869,2014
14PB04,8001,82870,2014
14MP02,8001,82873,2014
14MP02,8001,82872,2014
14MP02,8001,82874,2014
14MP02,8001,82875,2014
14EP01,8001,82876,2014
14EP01,8001,82877,2014
14EP01,8001,82878,2014
14EP01,8001,82879,2014
14EP03,8001,82880,2014
14EP03,8001,82882,2014
14EP03,8001,82883,2014
14TL02,8001,82884,2014
14TL02,8001,82885,2014
14GB03,8001,82887,2014
14GB03,8001,82886,2014
14GB03,8001,82888,2014
14CD01,8001,82889,2014
14CD01,8001,82890,2014
14CD01,8001,82891,2014
14CD01,8001,82892,2014
14TL02,8001,82893,2014
14TL02,8001,82894,2014
14DB01,8001,82895,2014
14PB03,8001,82896,2014
14PB03,8001,82897,2014
14PB03,8001,82898,2014
14BB01,8001,82899,2014
14BB01,8001,82900,2014
14BB01,8001,82901,2014
14DB03,8001,82902,2014
14DB03,8001,82903,2014
14PR01,8001,82904,2014
14PR01,8001,82905,2014
14PR01,8001,82906,2014
14PR02,8001,82907,2014
14PR02,8001,82908,2014
14PR03,8001,82909,2014
14PR03,8001,82910,2014
14PR03,8001,82911,2014
14PR03,8001,82912,2014
14DB02,8001,82913,2014
14DB02,8001,82914,2014
14DB02,8001,82915,2014
14LL04,8001,82916,2014
14LL04,8001,82917,2014
14LL04,8001,82918,2014
14PB02,8001,82919,2014
14PB02,8001,82920,2014
14DB04,8001,82921,2014
14DB04,8001,82922,2014
14DB04,8001,82923,2014
14DB05,8001,82924,2014
14GB02,8001,82925,2014
14GB02,8001,82926,2014
14MP05,8001,82927,2014
14MP05,8001,82928,2014
14MP05,8001,82929,2014
14GB04,8001,82930,2014
14GB04,8001,82931,2014
14DB01,8001,82932,2014
14BC02,8001,82933,2014
14BC02,8001,82934,2014
