Nest,Prefix,Suffix,Year
13DB01,2341,64267,2013
13DB01,2341,64268,2013
13DB01,2341,64269,2013
13DB01,2341,64270,2013
13HP03,2341,64272,2013
13HP03,2341,64273,2013
13PR02,2341,64274,2013
13PR02,2341,64275,2013
13HP03,2341,64277,2013
13HP03,2341,64278,2013
13PR02,2341,64279,2013
13PR02,2341,64280,2013
13PB01,2341,64283,2013
13PB01,2341,64284,2013
13PR01,2341,64285,2013
13PR01,2341,64286,2013
13PR01,2341,64287,2013
13PR01,2341,64288,2013
13GB04,2341,64289,2013
13GB04,2341,64290,2013
13GB04,2341,64291,2013
13HP01,2341,64292,2013
13HP01,2341,64293,2013
13HP01,2341,64294,2013
13HP01,2341,64295,2013
13DBBLUFFS01,2341,64296,2013
13DBBLUFFS01,2341,64297,2013
13DBBLUFFS01,2341,64298,2013
13LL04,2341,64299,2013
13LL01,2341,64300,2013
13LL01,2461,10558,2013
13LL01,2461,402,2013
13LL04,1951,52501,2013
13LL04,1951,52502,2013
13LL04,1951,52503,2013
13LL02,1951,52504,2013
13LL02,1951,52505,2013
13PB02,1951,52506,2013
13PB02,1951,52507,2013
13PB02,1951,52508,2013
13GB03,1951,52509,2013
13GB03,1951,52510,2013
13BC01,1951,52511,2013
13TL01,1951,52512,2013
13TL01,1951,52513,2013
13TL01,1951,52514,2013
13BC01,1951,52515,2013
13BC01,1951,52517,2013
13BC01,1951,52518,2013
13CD01,1951,52519,2013
13GB06,1951,52521,2013
13GB06,1951,52522,2013
13HP02,1951,52523,2013
13HP02,1951,52524,2013
13HP02,1951,52525,2013
13HP02,1951,52526,2013
13GB02,1951,52527,2013
13GB02,1951,52529,2013
13GB02,1951,52538,2013
13GB05,1951,52528,2013
13GB06,1951,52530,2013
13GB06,1951,52531,2013
13PB04,1951,52532,2013
13PB04,1951,52533,2013
13PB04,1951,52534,2013
13PB04,1951,52535,2013
13PR03,1951,52536,2013
13PR03,1951,52537,2013
13LL03,1951,52539,2013
13LL03,1951,52540,2013
13CD01,1951,52541,2013
13MP01R,1951,52542,2013
13MP01R,1951,52543,2013
13MP01R,1951,52544,2013
13MP01R,1951,52545,2013
13PR04,1951,52546,2013
13EP03,1951,52547,2013
13EP03,1951,52548,2013
13EP03,1951,52549,2013
13BB01,1951,52550,2013
13BB01,1951,52551,2013
13BC02,1951,52552,2013
13BC02,1951,52553,2013
13BC02,1951,52554,2013
13BC02,1951,52555,2013
13PB05,1951,52556,2013
13PB05,1951,52557,2013
13PB05,1951,52558,2013
13PB05,1951,52559,2013
