Nest,Prefix,Suffix,Year
16EE01,891,19689,2016
16EE01,891,19690,2016
16EE02,891,19691,2016
16EE02,891,19692,2016
16GB01,891,19693,2016
16GB01,891,19694,2016
16GB01,891,19695,2016
16GB01,891,19700,2016
16EP01,891,19696,2016
16EP01,891,19697,2016
16EP01,891,19698,2016
16EP01,891,19699,2016
16GB02r,891,19603,2016
16EE02,1951,52592,2016
16GB03,1951,52562,2016
16GB03,1951,52569,2016
16GB03,1951,52570,2016
16GB03,1951,52571,2016
16PR02,1951,52563,2016
16PR02,1951,52564,2016
16GB04,1951,52566,2016
16GB04,1951,52567,2016
16GB04,1951,52568,2016
16HP01,1951,52572,2016
16HP01,1951,52573,2016
16HP01,1951,52574,2016
16HP01,1951,52581,2016
16EE04,1951,52575,2016
16EE04,1951,52577,2016
16EE04,1951,52576,2016
16EE04,1951,52565,2016
16EE05,1951,52579,2016
16EE05,1951,52580,2016
16EE05,1951,52593,2016
16LL04,1951,52582,2016
16EE06,1951,52583,2016
16EE06,1951,52584,2016
16EE06,1951,52584,2016
16EP02,1951,52586,2016
16EP02,1951,52587,2016
16EP02,1951,52588,2016
16PR03,1951,52589,2016
16PR03,1951,52590,2016
16PR03,1951,52591,2016
16GB02r,1951,52599,2016
16GB02r,1951,52600,2016
16SC01,1951,52595,2016
16SC01,1951,52596,2016
16SC01,1951,52597,2016
16GB02r,8051,50566,2016
16EE03,8051,50567,2016
16MP01r,8051,50568,2016
16MP01r,8051,50569,2016
16MP01r,8051,50570,2016
16MP01r,8051,50571,2016
16LL08,8051,50572,2016
16LL08,8051,50573,2016
