Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
13BB01,445701,6514313,,,,2341,64260,2013
13BC01,448773,6512773,961,43339,2008,,,2007
13BC02,449559,6513576,2341,64263,,2341,64264,2013
13CD01,453734,6513046,1951,52520,2013,,,
13DB01,440831,6513997,2341,64231,2013,2341,64230,2013
13DBBLUFFS01,441097,6514050,2341,64254,2013,961,43395,2008
13EP01,452338,6516078,2341,64261,2013,,,
13EP02,452265,6516272,2341,64262,2013,2341,64264,2013
13EP03,452363,6515934,,,,,,
13GB01,445070,6514486,,,,,,
13GB02,443895,6514861,2341,64242,2013,2341,64241,2013
13GB03,444607,6514555,,,,,,
13GB04,444936,6514548,2341,64276,2013,,,
13GB05,443691,6514849,2241,96042,2007,,,
13GB06,444367,6514232,8101,99677,2009,,,
13HP01,450400,6514569,2341,64240,2013,,,
13HP02,449913,6514317,2461,1468,2011,2341,64248,
13HP03,450277,6514488,,,,2461,64250,2013
13LL01,438326,6510550,,,,2341,64233,2013
13LL02,438377,6510104,2341,64239,2013,2341,64234,2013
13LL03,438479,6509725,2341,64235,2013,2341,64234,2013
13LL04,439041,6507638,2341,64244,2013,,,
13LL05,437923,6511298,2341,64258,2013,2341,64271,2013
13MP01,437700,6514250,,,,2461,1442,
13MP01R,437750,6514259,2341,64251,,2461,1442,
13MP02,437849,6514223,2231,10373,2008,,,
13MP02R,437857,6514289,2231,10373,2008,,,
13MP03,438057,6514109,,,,2341,64243,2013
13MP04,437880,6514115,,,,2341,64252,2013
13MP05,437965,6514098,,,,2341,64238,2013
13MP05R,438018,6514119,,,,2341,64238,2013
13MP06,438316,6513987,,,2007,2341,64246,2013
13PB01,443469,6514667,2461,1425,2011,2341,64255,2013
13PB02,442494,6514363,2341,64256,2013,2341,64266,2013
13PB03,442032,6514333,2231,10372,2010,2341,64257,2013
13PB04,442703,6514423,,,,2341,62481,2013
13PB05,443344,6514630,2341,62482,2013,,,
13PR01,454337,6510722,,,,2341,64232,2013
13PR02,454251,6510861,,,,,,
13PR03,454214,6510144,2341,64236,2013,2341,64247,2013
13PR04,454127,6510788,,,,2341,64259,2013
13TL01,451155,6507394,2341,64249,2013,2341,64237,2013
