Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
11HP01,450587,6514440,,,,961,43360,2011
11PR01,454325,6510642,8101,99636,2009,2241,96005,2009
11TL01,451030,6507028,8101,99644,2009,2461,1475,2011
11PR02,454347,6510499,2461,1421,2011,2461,1432,2011
11MP01,438003,6513888,2461,1431,2011,,,
11LL01,438344,6510305,9614,3323,2010,2461,1437,2011
11GB01,438342,6510305,2241,56035,2011,2461,1428,2011
11PR03,453101,6510463,,,,8101,99650,2009
11IB01,447625,6513692,1871,63232,2010,961,43335,2011
11GB02,443719,6514416,1701,3358,2005,2461,1425,2011
11BB01,445623,6513917,2461,1445,2011,2461,1430,2011
11GB03,444260,6514022,2461,1434,2011,2461,1426,2011
11MP02,438349,6513877,8101,99645,2009,,,
11MP03,438064,6513867,1701,3334,2005,961,43332,2008
11MP04,437914,6514002,2461,1442,2011,2461,1431,2011
11LL02,438535,6509874,,,2008,,,
11LL03,438294,6510485,2341,64080,2010,2461,1422,2011
11IB02,448036,6513333,,,,2461,1426,2011
11BC01,449267,6512633,,,,,,
11TL02,450932,6507033,1871,63583,2010,2461,1427,2011
11TL03,450977,6506914,8101,99643,2009,2341,64059,2010
11MP05,437042,6514018,,,,2461,1429,2011
11MP06,437945,6513852,,,,,,
11GB04,444355,6514290,2461,1444,2011,2461,1433,2011
11HP02,449962,6514160,,,,,,
11HP03,450507,6514397,8101,99639,2009,961,43336,2008
11BC02,448455,6512463,,,,,,
11LL04,438302,6510358,9614,3323,2010,2461,1437,2011
11HP04,450480,6513970,2341,64072,2010,2461,1439,2011
11GB05,444532,6514309,2461,1440,2011,2461,1441,2011
11HP05,450715,6513995,2461,1443,2011,2231,10391,2010
11HP06,451290,6514576,8101,99549,2000,8101,99632,2009
11HP07,450990,6514381,,,,2461,1449,2011
11BC03,448832,6512491,,,,,,2008
11BC04,448724,6512460,1861,33412,2006,2341,64058,2010
11BC05,449788,6513524,2461,1446,2011,2451,1447,2011
11TL04,450982,6507074,8101,99644,2009,2461,1475,2011
11BC06,448199,6512860,1871,63583,2009,2461,1450,2011
11BC07,448975,6512544,,,,2461,1526,2011
11LL05,,,,,2008,,,
11HP08,,,,,,,,
11MP07,,,,,,,,
11MP08,,,,,,2461,1534,2011
11BB02,,,,,,,,
