Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
14BB01,445658,6514301,8001,82847,2014,2241,96163,2012
14BC01,449596,6513699,2341,64263,2013,2341,64264,2013
14BC02,,,2341,64263,2013,2341,64264,2013
14CD01,453832,6513007,1951,52520,2013,8001,82868,2014
14DB01,440837,6514003,2341,64231,2013,2341,64230,2013
14DB02,440532,6513973,8001,82859,2014,8001,82858,2014
14DB03,440728,6514123,2341,64252,2013,961,43395,2008
14DB04,440609,6514068,,,,,,
14DB05,,,,,,,,
14EP01,452333,6516032,,,,8001,82850,2014
14EP02,452247,6516039,8001,82848,2014,8001,82849,2014
14EP03,451780,6514621,8001,82863,2014,8001,82856,2014
14EP04,452313,6516088,,,,,,
14GB01,445065,6514361,2461,1440,2011,8001,82854,2014
14GB02,443885,6514836,2231,10373,2008,8001,82855,2014
14GB03,444331,6514519,2461,1444,2011,8001,82862,2014
14GB04,,,2341,64276,2013,,,
14HPE1,451062,6514676,,,,,,
14LL01,438377,6510104,,,,,,
14LL02,438404,6510076,2341,64239,2013,,,
14LL03,408282,6510584,8001,82853,2014,8001,82851,2014
14LL04,438495,6509729,8001,82860,2014,8001,82857,2014
14MP01,437685,6514315,2341,64251,2013,2341,64248,2013
14MP02,436084,6514400,961,43343,2008,,,2007
14MP03,438313,6514096,,,,,,
14MP04,437815,6514169,8001,82852,2014,2241,96150,2012
14MP05,437674,6514206,8001,82866,2014,8001,82861,2014
14PB01,443297,6514622,,,,,,
14PB02,443550,6514696,8001,82864,2014,2341,64238,2013
14PB03,443278,6514623,8001,82867,2014,8001,82865,2014
14PB04,443443,6514570,2341,64255,2013,2461,1425,2011
14PR01,454091,6510128,2341,64236,2013,2241,96154,2012
14PR02,454330,6510731,,,,2341,64232,2013
14PR03,454106,6510779,8101,99636,2009,,,
14TL01,450965,6507182,,,,,,
14TL02,451155,6507394,2341,64249,2013,,,2013
