Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
15GB05,444872,6514546,961,43354,2007,,,
15EP04,451725,6514590,,,,8001,82856,2014
15PR04,454329,6510727,,,,891,19628,2015
15LL02,438320,6510549,8001,82851,2014,891,19625,2015
15EP03,452259,6516271,891,19641,2015,2341,64265,2013
15LR01,441372,6513767,891,19622,2015,891,19624,2015
15GB04,443929,6514824,891,19619,2015,891,19623,2015
15OC01,436266,6514390,891,19635,2015,891,19615,2015
15BC01,448144,6513036,,,,,,
15MP02,438028,6513962,2241,96131,2012,,,
15PB02,442438,6514349,891,19616,2015,2241,96078,2007
15GB02,448027,6513856,891,19614,2015,1951,52511,2013
15GB03,445072,6514504,,,,8001,82932,2014
15HP01,450672,6514554,891,19610,2015,,,
15HP02,450478,6514520,2341,64240,2013,2241,96189,2014
15HP03,451207,6514842,891,19613,2015,,,
15IB01,448063,6513879,891,19612,2015,891,19640,2015
15PR03,454341,6510830,891,19620,2015,891,19609,2015
15PB01,442867,6514469,2341,64056,2012,8001,82867,2014
15TL02,451175,6507425,891,19617,2015,2341,64252,2013
15GB01,444334,6514519,2461,1444,2011,891,19611,2015
15DB01,440774,6513970,2341,64231,2013,2341,64230,2013
15LL01,438282,6510589,8001,82851,2014,,,
15PR01,454198,6510754,8101,99636,2009,2241,96154,2012
15PR02,454326,6510736,,,,2341,64232,2013
15EP01,452310,6516090,,,,891,19608,2015
15EP02,452354,6516102,8001,82848,2014,891,19621,2015
15TL01,450884,6507162,891,19607,2015,891,19618,2015
15MP01,437733,6514263,,,,,,
