Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
10LL01,438989,6507896,,,,1461,42456,2002
10LL02,438329,6510317,9614,3323,2008,,,
10TL01,450867,6507020,2341,64056,2010,2341,64052,2010
10LL03,438462,6509471,2341,64054,2010,2341,65053,2010
10BB01,445168,6514168,1461,42415,2005,2341,64055,2010
10GB01,444532,6514306,2341,64064,2010,,,
10GB02,444457,6513915,,,,,,
10PR01,453093,6510462,,,,8101,99641,2009
10MP01,437964,6513835,,,,,,
10MP02,438371,6513888,8101,99645,2009,,,
10BC01,448322,6512634,,,,2341,64057,2010
10PR02,454314,6510613,8101,99636,2009,8101,99650,2009
10HP01,450247,6514131,2341,64072,2010,2341,64058,2010
10HP02,450601,6514169,,,,2341,64071,2010
10MP03,437700,6514033,,,,2341,64059,2010
10MP04,437795,6514091,,,,9614,3324,2008
10MP05,437784,6514167,,,,2341,64063,2010
10MP06,437954,6514111,,,,,,
10MP07,438021,6514097,1701,3334,2005,9614,3332,2008
10IB01,448383,6512527,1701,3365,2005,9514,3336,2008
10LL04,438326,6510201,2341,64061,2010,2341,64060,2010
10LL05,438300,6510479,2341,62062,2010,2341,64080,2010
10HP03,450804,6514363,,,,2341,64059,2010
10BB02,445629,6513958,2341,96064,2010,,,
10HP04,450622,6514319,,,,,,
10GB03,443665,6514481,1701,3350,2006,,,
10MP08,437955,6513894,,,,,,
10MP09,438242,6513899,,,,,,
10MP10,438052,6513886,,,,,,
10BC02,449684,6513232,,,,,,
10BC03,448168,6512810,,,,2341,64065,2010
10BC04,448260,6512724,2341,64067,2010,,,
10BC05,448252,6512776,,,,2341,64066,2010
10BC06,448404,6512479,,,,2341,64068,2010
10BC07,449317,6512752,,,,2341,64069,2010
10BC08,449787,6513418,,,,,,
10MP11,437989,6513919,,,,,,
10GB04,443960,6514454,,,,,,
10MP12,437865,6513883,,,,,,
10TL02,451504,6509383,8051,50780,1996,2231,10364,2010
10HP05,451268,6514592,8101,99540,2008,8101,99632,2009
10MP13,437352,6513902,,,,2341,64079,2010
10IB02,448084,6513672,1701,3365,2005,1461,42415,2005
10TL03,450978,6506916,8101,99643,2009,,,
10GC01,432106,6502989,,,,2231,10378,2010
10PR03,454208,6510515,2231,10377,2010,2231,10391,2010
10LL06,438337,6510308,9614,3323,2008,1871,63349,2004
10BC09,,,,,,,,
10MP14,437984,6513911,,,,,,
10MP15,,,8101,99652,2009,,,
10IB03,,,,,,,,
