Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
12GB01,444527,6514387,,,2011,2241,96124,2012
12GB02,444355,6514289,,,,961,43322,2008
12PR01,454264,6510654,8101,99636,2009,,,
12TL01,450934,6507041,2341,64056,2010,961,43333,2008
12MP01,437905,6513805,,,,,,
12PR02,454265,6510584,2231,10377,2010,2241,96122,2012
12PR03,454372,6510673,2461,1421,2011,,,
12TL02,451010,6507055,,,,,,
12DB01,440102,6513632,,,,,,
12LL01,438501,6509473,,,,,,
12GB03,444886,6514248,,,,,,
12GB04,443718,6514414,,,,,,
12BB01,445356,6513513,,,,,,
12IB02,448031,6513321,,,,2341,64211,
12IB01,447685,6513755,,,,,,
12IB03,447575,6512936,,,,,,
12BC01,449726,6513128,,,,,,
12BC02,448158,6512831,,,,,,
12BC03,448282,6512640,,,,2241,96128,2012
12BC04,448158,6512831,,,,,,
12GB05,445037,6514240,,,,,,
12MP02,438184,6513856,,,,,,
12MP03,438025,6513904,,,,,,
12MP04,437727,6514013,,,,,,
12MP05,437513,6513914,,,,,,
12HP01,450687,6513986,,,,,,
12IB04,448055,6513663,,,,,,
12MP06,438435,6513808,2241,96046,2012,,,
12MP07,437874,6513879,,,,,,
12HP02,451291,6514576,,,,,,
12CD01,452531,6513100,2241,96139,2012,2241,96138,2012
12BC05,448686,6512518,,,,,,
12CD02,,,,,,2241,96144,2012
12CD03,452612,6515062,2241,96146,2012,1701,3326,2005
12MP08,,,,,,,,
12CD04,,,,,,2241,96173,2012
12LL02,438669,6509481,,,,2241,96184,2012
12LL03,438445,6510069,,,,,,
12LL04,438431,6510138,,,,,,
12BC06,449576,6513091,,,,,,
12LL05,438944,6509108,,,,,,
12CD05,,,,,,2341,64219,2012
